"scode","numclass","cohsize","avgmath","avgverb","tipuach","clasz","z","pair"
61116,1,44,66.2300033569336,58.0299987792969,38,44,0,1
11006,2,37,58.3243243243243,69.4608787330421,38,18.5,1,1
11182,2,46,72.1261901855469,81.0766677856445,9,23,0,2
11235,1,40,63.1300010681152,79.3899993896484,8,40,1,2
51322,2,45,78.476889207628,85.516665479872,1,22.5,0,3
11238,1,32,68.0899963378906,75.6999969482422,1,32,1,3
41131,2,47,78.1146808380776,79.9991472934155,0,23.5,0,4
11259,2,40,64.4215013504028,80.4025009155273,0,20,1,4
51305,2,45,76.4177759806315,82.9046661376953,1,22.5,0,5
21012,1,33,67,84,1,33,1,5
21195,2,48,47.6824998855591,61.3875002861023,71,24,0,6
21030,1,33,57.689998626709,64.7200012207031,65,33,1,6
61178,2,46,56.1060854041058,67.4876098632812,52,23,0,7
21079,1,31,48,57,60,31,1,7
51273,2,43,68.0025581537291,78.0134884146757,8,21.5,0,8
21088,1,35,70.9700012207031,78.0699996948242,7,35,1,8
51288,2,41,52.8817080986209,70.4317064983089,21,20.5,0,9
21162,1,40,60.1300010681152,64,22,40,1,9
21096,2,47,72.5968089002244,82.8295752342711,3,23.5,0,10
21173,1,34,63.9700012207031,79.7900009155273,4,34,1,10
41096,2,41,62.5312204128358,65.9026853980088,36,20.5,0,11
21185,2,38,59,72,35,19,1,11
31069,2,50,61.3455993652344,77.4895986938477,6,25,0,12
11009,1,32,68.379997253418,73.9700012207031,6,32,1,12
61138,2,42,58.5471420288086,58.468571799142,31,21,0,13
21206,1,35,62.7900009155273,72.2099990844727,32,35,1,13
41468,2,44,83.4049987792969,80.4449996948242,4,22,0,14
21214,1,34,71,80,4,34,1,14
61223,2,43,57.5886038846748,68.3858144006064,24,21.5,0,15
21316,2,33,52.6000010172526,64.1466674804688,24,16.5,1,15
41003,2,41,66.875118906905,71.1241460660609,31,20.5,0,16
31026,1,35,57.4700012207031,66.6999969482422,30,35,1,16
21215,2,41,71.3187795499476,83.4890259533394,3,20.5,0,17
31040,1,40,80.3600006103516,83.6100006103516,4,40,1,17
41010,2,45,63.3831134372287,69.1693352593316,10,22.5,0,18
31046,1,32,61.0999984741211,71.5299987792969,10,32,1,18
51117,2,48,68.1937510172526,76.4229180018107,12,24,0,19
31048,2,32,63.2562494277954,77.3412494659424,11,16,1,19
61232,2,48,68.6354152361552,78.0804150899251,12,24,0,20
31070,1,37,70.2399978637695,75.0400009155273,11,37,1,20
41339,2,50,72.0148004150391,77.9393969726563,16,25,0,21
31098,2,33,64.5545446222479,60.8790900490501,16,16.5,1,21
61093,2,50,45.9924803161621,66.003056640625,50,25,0,22
31101,1,40,57.1800003051758,60.1800003051758,50,40,1,22
31067,2,48,61.9995829264323,72.4345820744832,17,24,0,23
11054,1,35,63,68,17,35,1,23
21374,2,47,83.9702133828021,84.1755338628241,0,23.5,0,24
31116,1,33,74.6699981689453,86.4800033569336,0,33,1,24
61325,2,49,72.9983341450594,73.001038064762,17,24.5,0,25
31125,1,35,75.9700012207031,73,17,35,1,25
51111,2,43,66.619300132574,71.3041848470998,18,21.5,0,26
31133,1,40,65.7900009155273,73.1500015258789,19,40,1,26
51112,2,47,70.0326068959338,80.0270791561045,9,23.5,0,27
31207,1,31,52,75.1900024414062,9,31,1,27
61038,2,47,60.7840405727955,67.6259578948325,40,23.5,0,28
31219,2,38,39.2250003814697,50.3850002288818,40,19,1,28
41186,2,47,65.694040988354,71.0195747537816,24,23.5,0,29
41039,1,32,58,66,24,32,1,29
21236,2,44,62.9727266485041,70.546365217729,35,22,0,30
41080,1,34,50.2099990844727,64.2600021362305,35,34,1,30
61294,2,47,62.3431919179064,79.7872340425532,36,23.5,0,31
41098,1,38,38.1800003051758,56.560001373291,36,38,1,31
41143,2,46,62.1810879914657,66.2321737538213,40,23,0,32
41105,1,33,62.2200012207031,76.370002746582,40,33,1,32
41146,2,46,66.4343454112177,64.9173905745797,41,23,0,33
41140,2,38,57.5278946725946,60.5710529528166,40,19,1,33
61169,2,48,64.939998626709,76.0599975585938,25,24,0,34
11064,1,40,48.7299995422363,52.7700004577637,25,40,1,34
51244,2,50,70.0223985290527,82.9583982849121,1,25,0,35
41150,1,38,76.4700012207031,83.6500015258789,1,38,1,35
51316,2,46,77.3491320402726,83.1486968994141,2,23,0,36
41227,1,36,64.0899963378906,77.6600036621094,2,36,1,36
51295,2,47,70.7117027120387,79.2995740200611,3,23.5,0,37
41275,1,34,65.620002746582,82.6900024414062,4,34,1,37
31007,2,44,74.9300003051758,81.0050010681152,7,22,0,38
41288,1,37,60.4700012207031,63.6500015258789,7,37,1,38
61240,2,41,52.9370731260718,65.8870712838522,44,20.5,0,39
41289,2,39,42.9494645534418,46.9969226152469,44,19.5,1,39
31031,2,44,71.4712739424272,71.9379029707475,41,22,0,40
41306,1,31,50,58,40,31,1,40
41101,2,44,48.7263640490445,60.1768194545399,43,22,0,41
41365,1,36,64,67,43,36,1,41
21323,2,48,69.7789991696676,85.0244851112366,4,24,0,42
41371,1,39,73.3099975585938,79.6399993896484,5,39,1,42
21351,2,43,74.5095346140307,87.9886054105537,0,21.5,0,43
41397,1,31,82.2799987792969,84.2300033569336,0,31,1,43
41072,2,41,71.0290222167969,81.3409760637981,9,20.5,0,44
41398,1,35,59.689998626709,74.7200012207031,8,35,1,44
51119,2,47,56.3612763425137,67.823617813435,19,23.5,0,45
11161,2,40,62.0036434173584,75.0109031677246,19,20,1,45
31063,2,41,68.9319498946027,79.6543917772247,6,20.5,0,46
41419,1,34,58.810001373291,71.6500015258789,6,34,1,46
21175,2,42,62.2891159057617,77.8838086809431,0,21,0,47
41447,1,32,79,83.5,0,32,1,47
51078,2,47,68.9457447782476,79.9936171186731,7,23.5,0,48
41456,1,38,81.8099975585938,81.5100021362305,6,38,1,48
11072,2,41,65.1897560677877,71.9921934546494,25,20.5,0,49
51006,2,36,42.8344438340929,52.3644443088108,25,18,1,49
51022,2,49,51.7991835925044,65.1667356685716,34,24.5,0,50
51015,2,37,60.9978374790501,62.227838980185,34,18.5,1,50
21279,2,50,66.8952008056641,70.2296011352539,34,25,0,51
51020,2,37,49.4686215374921,60.2166277911212,34,18.5,1,51
31030,2,45,60.7771123250325,69.349109395345,31,22.5,0,52
51046,2,40,59.4250011444092,65.8250007629395,30,20,1,52
61188,2,50,59.5350017547607,72.5750007629395,20,25,0,53
51049,1,34,69.6500015258789,68.0299987792969,20,34,1,53
61290,2,48,56.2587501207988,66.0712513923645,29,24,0,54
51053,2,35,47.1199996948242,57.1360008239746,28,17.5,1,54
51055,2,47,70.4178747623525,74.6468054588805,8,23.5,0,55
51059,1,38,58.6300010681152,68.9400024414062,7,38,1,55
41024,2,43,61.5293019316917,87.1846485581509,11,21.5,0,56
11189,1,32,81.2200012207031,77.0999984741211,11,32,1,56
41097,2,43,66.9690677731536,80.1711636920308,8,21.5,0,57
51071,1,39,62.9500007629395,74.0800018310547,7,39,1,57
41009,2,48,77.9650001525879,81.5349998474121,10,24,0,58
51072,1,38,66.370002746582,75.3399963378906,10,38,1,58
21241,2,43,68.9279070122297,77.9686046866483,2,21.5,0,59
51074,1,35,67.0299987792969,78.3099975585938,3,35,1,59
51166,2,50,73.7527984619141,78.8347973632813,3,25,0,60
51085,1,39,60.1699981689453,76.0899963378906,3,39,1,60
61326,2,46,72.0249977111816,79.504997253418,18,23,0,61
51091,1,31,64.620002746582,67.6999969482422,19,31,1,61
11258,2,48,72.0062500635783,74.8833332061768,3,24,0,62
51100,1,36,69,79,4,36,1,62
51281,2,49,62.4787750244141,73.6234683601224,13,24.5,0,63
51130,2,40,67.2032510757446,74.1810012817383,14,20,1,63
41178,2,49,84.5646949300961,83.4975539226921,5,24.5,0,64
51138,1,32,89.1600036621094,85.2300033569336,5,32,1,64
51036,2,49,78.881633524992,80.9355099736428,4,24.5,0,65
51179,2,39,62.8274367894882,71.7510248819987,5,19.5,1,65
51086,2,44,71.9999972256747,78.9999982660467,2,22,0,66
51263,1,33,71.8199996948242,79.3899993896484,2,33,1,66
61213,2,46,64.2350006103516,81.0299987792969,0,23,0,67
11209,1,33,59.4099998474121,76.1600036621094,0,33,1,67
51127,2,44,66.5352382659912,67.0809993743896,15,22,0,68
51289,1,40,62.4700012207031,67.9700012207031,14,40,1,68
51034,2,47,74.5223401658078,83.2297882729388,3,23.5,0,69
51412,1,37,66.9700012207031,71.7799987792969,3,37,1,69
61238,2,48,58.1129166285197,69.0625004768372,26,24,0,70
61005,1,38,66.5800018310547,76.1800003051758,26,38,1,70
41296,2,47,72.0666500659699,69.152655743538,33,23.5,0,71
61007,1,36,68.8600006103516,71.8000030517578,32,36,1,71
21184,2,46,74.4449996948242,76.375,33,23,0,72
61013,2,36,66,66,32,18,1,72
21293,2,50,68.0222206115723,74.9837036132812,27,25,0,73
61031,1,38,66.5899963378906,66.8300018310547,28,38,1,73
61265,2,43,70.9981799458348,76.9889893642692,36,21.5,0,74
61104,2,34,60.0270592184628,71.825881060432,35,17,1,74
41184,2,49,76.3591844208387,78.3926558202627,26,24.5,0,75
61136,1,39,76.1999969482422,85.0500030517578,27,39,1,75
41095,2,46,83.7449989318848,80.3850021362305,26,23,0,76
61140,1,34,51.189998626709,64.5699996948242,25,34,1,76
61199,2,43,61.4934349947197,66.9590961545013,46,21.5,0,77
61150,1,39,50.3499984741211,64.8499984741211,46,39,1,77
51323,1,41,85.9100036621094,89.2699966430664,2,41,0,78
11212,1,32,78.0299987792969,82.5899963378906,2,32,1,78
21281,2,48,72.7487478256226,76.6181235313416,43,24,0,79
61172,1,38,60,71,43,38,1,79
31253,2,50,57.4566096496582,68.4514785766602,23,25,0,80
61231,1,37,65.5599975585938,78.6900024414062,23,37,1,80
61197,2,45,46.8513328552246,59.5786666870117,42,22.5,0,81
61312,1,34,52.1199989318848,58.8400001525879,41,34,1,81
51051,2,50,69.8375015258789,70.8741683959961,8,25,0,82
61332,1,37,45,65,7,37,1,82
41193,2,44,57.4909092296254,69.5590903542258,21,22,0,83
61343,1,34,69.0599975585938,75.629997253418,21,34,1,83
21313,2,45,64.3844441731771,84.605332438151,3,22.5,0,84
61348,1,31,88.7200012207031,90.1399993896484,3,31,1,84
61137,2,50,53.6612004089355,69.8107968139648,35,25,0,85
61349,1,34,66.1500015258789,71.8199996948242,34,34,1,85
41316,2,46,61.9799995422363,53.9200000762939,20,23,0,86
11228,1,39,68.0299987792969,73.1100006103516,19,39,1,86
